시군명,시설구분명,시설명,소재지우편번호,행정동,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
오산시,체육도장업,유일태권도장,447290,신장동,경기도 오산시 수청동 522-2번지 301호,"경기도 오산시 청학로173번길 34,  301호 (수청동)",37.1638354,127.060368
오산시,체육도장업,용인대 슈퍼아이 다온 태권도,18148,중앙동,경기도 오산시 부산동 495번지 시티자이 1단지 ,"경기도 오산시 부산중앙로 11, 상가동 201,202호 (부산동, 시티자이 1단지)",37.14961747,127.089275
오산시,체육도장업,용인대 바른 태권도장,18129,중앙동,경기도 오산시 오산동 532-5번지 2층 ,경기도 오산시 성산새싹길 2 (오산동),37.14933496,127.0656926
오산시,체육도장업,제일태권도,447804,대원동,경기도 오산시 원동 562-19번지 대성빌딩 2층,"경기도 오산시 밀머리로1번길 28  (원동,대성빌딩 2층)",37.1414444,127.0766373
오산시,체육도장업,용인대 태권도장,447060,대원동,경기도 오산시 원동 811-12번지 503호,"경기도 오산시 운암로 17  (원동,503호)",37.1476711,127.0759455
오산시,체육도장업,국가대표 히어로즈 태권도,18146,대원동,경기도 오산시 원동 806-5번지 로얄프라자 ,"경기도 오산시 경기대로 105, 로얄프라자 502호 (원동)",37.13422978,127.0721962
오산시,체육도장업,용인대고현태권도장,447060,대원동,경기도 오산시 원동 826-2번지 원동대우푸르지오아파트 상가 3동 301호,"경기도 오산시 남부대로 411-13, 3동 301호 (원동,원동대우푸르지오아파트 상가)",37.1362236,127.0824958
오산시,체육도장업,경희대 문무체육관,447741,신장동,경기도 오산시 수청동 569번지 우미이노스빌 상가동 301호,"경기도 오산시 수청로 31, 301호 (수청동, 우미이노스빌 상가동)",37.17274858,127.056614
오산시,체육도장업,해동도법검도,447150,초평동,경기도 오산시 가수동 3026번지,,37.1462524,127.0478043
오산시,체육도장업,경희대 영웅 태권도 도장,18143,대원동,경기도 오산시 원동 345-12번지 3층 301호,"경기도 오산시 오산로160번길 7 (원동, 원동G MATE)",37.14147576,127.0694791
오산시,체육도장업,무도체육관,18144,대원동,경기도 오산시 원동 374-1번지,경기도 오산시 밀머리로 8 (원동),37.141203,127.0736094
오산시,체육도장업,현 태권도장,18114,신장동,경기도 오산시 수청동 15-11 ,"경기도 오산시 박동길 7 (수청동, 럭키마트)",37.16534536,127.0686462
